id	level	category	word	old_example	new_example	new_ko	new_en
v0563	A1-A2	L’ENDROIT	le lieu	Nous passons près du lieu.	C'est un lieu calme où l'on peut travailler sans être dérangé.	이곳은 방해받지 않고 일할 수 있는 조용한 장소다.	It is a quiet place where you can work without being disturbed.
v0568	A1-A2	L’ENDROIT	le quartier	Nous passons près du quartier.	Ce quartier est bien desservi par les transports en commun.	이 동네는 대중교통이 잘 연결되어 있다.	This neighborhood is well served by public transit.
v0569	A1-A2	L’ENDROIT	le centre-ville	Nous passons près du centre-ville.	Le centre-ville est très animé le vendredi soir.	도심은 금요일 저녁에 매우 활기차다.	Downtown is very lively on Friday evening.
v0570	A1-A2	L’ENDROIT	le parc	Nous passons près du parc.	Je vais courir dans le parc après le travail.	나는 퇴근 후 공원에서 달린다.	I go running in the park after work.
v0575	A1-A2	L’ENDROIT	le boulevard	Nous passons près du boulevard.	Le bus circule sur ce boulevard toute la journée.	버스는 하루 종일 이 대로를 다닌다.	The bus runs along this boulevard all day.
v0578	A1-A2	L’ENDROIT	le chemin	Nous passons près du chemin.	Suivez ce chemin jusqu'au lac.	이 길을 따라 호수까지 가세요.	Follow this path to the lake.
v0580	A1-A2	L’ENDROIT	le marché	Nous passons près du marché.	J'achète des légumes frais au marché le samedi matin.	나는 토요일 아침 시장에서 신선한 채소를 산다.	I buy fresh vegetables at the market on Saturday morning.
v0582	A1-A2	L’ENDROIT	le supermarché	Nous passons près du supermarché.	Je passe au supermarché après le travail pour acheter du lait.	나는 퇴근 후 우유를 사려고 슈퍼마켓에 들른다.	I stop by the supermarket after work to buy milk.
v0583	A1-A2	L’ENDROIT	le centre commercial	Nous passons près du centre commercial.	Le centre commercial ferme à neuf heures ce soir.	쇼핑몰은 오늘 저녁 9시에 문을 닫는다.	The shopping mall closes at nine tonight.
v0584	A1-A2	L’ENDROIT	le magasin	Nous passons près du magasin.	Ce magasin accepte les retours pendant trente jours.	이 가게는 30일 동안 반품을 받는다.	This store accepts returns for thirty days.
v0585	A1-A2	L’ENDROIT	le grand magasin	Nous passons près du grand magasin.	Le grand magasin organise des soldes à la fin de la saison.	백화점은 시즌 말에 세일을 한다.	The department store holds sales at the end of the season.
v0586	A1-A2	L’ENDROIT	le restaurant	Nous passons près du restaurant.	Nous avons réservé une table au restaurant pour huit heures.	우리는 저녁 8시에 식당 테이블을 예약했다.	We booked a table at the restaurant for eight.
v0587	A1-A2	L’ENDROIT	le café	Nous passons près du café.	On se retrouve au café en face de la station.	역 맞은편 카페에서 만나자.	Let's meet at the café across from the station.
v0588	A1-A2	L’ENDROIT	le bar	Nous passons près du bar.	Ce bar sert des cocktails jusqu'à minuit.	이 바는 자정까지 칵테일을 제공한다.	This bar serves cocktails until midnight.
v0596	A1-A2	L’ENDROIT	le commissariat	Nous passons près du commissariat.	Je vais au commissariat pour déclarer la perte de mon portefeuille.	나는 지갑 분실 신고를 하러 경찰서에 간다.	I'm going to the police station to report my lost wallet.
v0598	A1-A2	L’ENDROIT	le pressing	Nous passons près du pressing.	Je dépose ma veste au pressing ce soir.	나는 오늘 저녁 재킷을 세탁소에 맡긴다.	I'm dropping off my jacket at the dry cleaner's tonight.
v0601	A1-A2	L’ENDROIT	le musée	Nous passons près du musée.	L'entrée du musée est gratuite le dimanche matin.	박물관은 일요일 오전에 입장이 무료다.	Admission to the museum is free on Sunday morning.
v0602	A1-A2	L’ENDROIT	le cinéma	Nous passons près du cinéma.	Le film commence au cinéma à sept heures et demie.	영화관에서 영화가 7시 30분에 시작한다.	The movie starts at the cinema at seven thirty.
v0603	A1-A2	L’ENDROIT	le théâtre	Nous passons près du théâtre.	Nous avons acheté des billets pour le théâtre samedi soir.	우리는 토요일 저녁 연극 표를 샀다.	We bought tickets for the theater on Saturday evening.
v0604	A1-A2	L’ENDROIT	le salon de coiffure	Nous passons près du salon de coiffure.	J'ai rendez-vous au salon de coiffure à trois heures.	나는 3시에 미용실 예약이 있다.	I have an appointment at the hair salon at three.
v0615	A1-A2	L’ENDROIT	le temple	Nous passons près du temple.	Il faut enlever ses chaussures avant d'entrer dans le temple.	사원에 들어가기 전에 신발을 벗어야 한다.	You have to take off your shoes before entering the temple.
v0616	A1-A2	L’ENDROIT	le château	Nous passons près du château.	Le château domine la vallée depuis le sommet de la colline.	그 성은 언덕 꼭대기에서 계곡을 내려다본다.	The castle overlooks the valley from the top of the hill.
v0621	A1-A2	L’ENDROIT	le bureau	Nous passons près du bureau.	Je laisse les documents sur votre bureau.	서류를 당신 책상 위에 두겠습니다.	I'll leave the documents on your desk.
v0624	A1-A2	L’ENDROIT	le terrain de jeu	Nous passons près du terrain de jeu.	Les enfants jouent au terrain de jeu après l'école.	아이들은 방과 후 놀이터에서 논다.	The children play at the playground after school.
v0625	A1-A2	L’ENDROIT	le collège	Nous passons près du collège.	Elle est entrée au collège cette année.	그녀는 올해 중학교에 들어갔다.	She started middle school this year.
v0626	A1-A2	L’ENDROIT	le lycée	Nous passons près du lycée.	Il prépare le baccalauréat au lycée.	그는 고등학교에서 바칼로레아 시험을 준비하고 있다.	He is preparing for the baccalaureate in high school.
v0629	A1-A2	L’ENDROIT	le parking	Nous passons près du parking.	Le parking est complet, cherchons une place dans la rue.	주차장이 만차이니 길가에서 자리를 찾아보자.	The parking lot is full, so let's look for a space on the street.
v0634	A1-A2	L’ENDROIT	le port	Nous passons près du port.	Les bateaux de pêche rentrent au port tôt le matin.	어선들은 이른 아침 항구로 돌아온다.	The fishing boats return to the port early in the morning.
v0635	A1-A2	L’ENDROIT	le fleuve	Nous passons près du fleuve.	Ce fleuve traverse plusieurs régions avant d'atteindre la mer.	이 강은 바다에 닿기 전에 여러 지역을 지난다.	This river crosses several regions before reaching the sea.
v0637	A1-A2	L’ENDROIT	le pont	Nous passons près du pont.	Traversez le pont, puis tournez à droite.	다리를 건넌 다음 오른쪽으로 도세요.	Cross the bridge, then turn right.
v0640	A1-A2	L’ENDROIT	le bois	Nous passons près du bois.	Nous nous promenons dans le bois quand il ne pleut pas.	비가 오지 않을 때 우리는 숲에서 산책한다.	We take walks in the woods when it isn't raining.
v0641	A1-A2	L’ENDROIT	le parc d'attractions	Nous passons près du parc d'attractions.	Le parc d'attractions ouvre plus tard pendant l'été.	놀이공원은 여름에 더 늦게까지 운영한다.	The amusement park stays open later during the summer.
v0644	A1-A2	L’ENDROIT	le carrefour	Nous passons près du carrefour.	Tournez à gauche au prochain carrefour.	다음 교차로에서 왼쪽으로 도세요.	Turn left at the next intersection.
v0645	A1-A2	L’ENDROIT	le passage piéton	Nous passons près du passage piéton.	Utilisez le passage piéton pour traverser la rue.	길을 건널 때 횡단보도를 이용하세요.	Use the crosswalk to cross the street.
v0646	A1-A2	L’ENDROIT	le trottoir	Nous passons près du trottoir.	Le trottoir est glissant à cause de la neige.	눈 때문에 보도가 미끄럽다.	The sidewalk is slippery because of the snow.
v0647	A1-A2	L’ENDROIT	le lac	Nous passons près du lac.	On peut faire du kayak sur le lac en été.	여름에는 호수에서 카약을 탈 수 있다.	You can kayak on the lake in summer.
v0648	A1-A2	L’ENDROIT	le marais	Nous passons près du marais.	De nombreuses espèces d'oiseaux vivent dans ce marais.	많은 종류의 새들이 이 습지에 산다.	Many species of birds live in this marsh.
v0649	A1-A2	L’ENDROIT	le désert	Nous passons près du désert.	La température chute fortement dans le désert pendant la nuit.	사막에서는 밤에 기온이 크게 떨어진다.	The temperature drops sharply in the desert at night.
v0651	A1-A2	L’ENDROIT	le parc zoologique	Nous passons près du parc zoologique.	Le parc zoologique participe à la protection de plusieurs espèces menacées.	그 동물원은 여러 멸종위기종 보호에 참여한다.	The zoo takes part in protecting several endangered species.
v0652	A1-A2	L’ENDROIT	le jardin botanique	Nous passons près du jardin botanique.	Le jardin botanique abrite des plantes venues du monde entier.	그 식물원에는 전 세계에서 온 식물들이 있다.	The botanical garden houses plants from around the world.
v0653	A1-A2	L’ENDROIT	le cimetière	Nous passons près du cimetière.	Le cimetière se trouve derrière l'église.	묘지는 교회 뒤에 있다.	The cemetery is behind the church.
v0655	A1-A2	L’ENDROIT	le bâtiment	Nous passons près du bâtiment.	Ce bâtiment a été rénové l'année dernière.	이 건물은 지난해에 리모델링되었다.	This building was renovated last year.
v0657	A1-A2	L’ENDROIT	le palais	Nous passons près du palais.	Le palais est ouvert au public pendant l'été.	궁전은 여름 동안 일반에 공개된다.	The palace is open to the public during the summer.
v0658	A1-A2	L’ENDROIT	le palais de justice	Nous passons près du palais de justice.	Le procès aura lieu au palais de justice le mois prochain.	재판은 다음 달 법원에서 열릴 예정이다.	The trial will take place at the courthouse next month.
v0661	A1-A2	L’ENDROIT	le champ	Nous passons près du champ.	Les agriculteurs travaillent dans le champ dès le lever du soleil.	농부들은 해 뜰 때부터 밭에서 일한다.	The farmers work in the field from sunrise.
v0951	A1-A2	LA NATURE	la plante	On voit souvent la plante dans la nature.	Cette plante a besoin de beaucoup de lumière.	이 식물은 빛이 많이 필요하다.	This plant needs a lot of light.
v0952	A1-A2	LA NATURE	l'arbre (m.)	On voit souvent l'arbre dans la nature.	Cet arbre perd ses feuilles en automne.	이 나무는 가을에 잎이 떨어진다.	This tree loses its leaves in autumn.
